,微博发布者id,微博昵称,微博简介,认证状态,认证理由,关注数,粉丝数,性别,微博等级
18,1883849431,Tonight星_,曾和周深音乐节合作🤝且获得周深本人认证【好听】,True,娱乐博主 超话粉丝大咖（周深超话）,1328,6457,女,43
19,5311218080,卡布叻_落笔吟云,周深新专✨反深代词💙 十周年9.29hz巡演😻时代之声，中国歌坛巨星，青年歌唱家，空降五大刊之一单封，欢迎来到深流时代，周深牛逼吊打five的时代,False,,208,15,女,14
20,6313863323,浅尝一口粥可可_路人版,有事sx  镇魂,True,娱乐博主,262,1.4万,女,4
21,7644266415,你少管我叻,风雨同周 深情不移✨,False,,363,3,女,0
22,7844844373,卡啵啦儿儿叻,深深说，要永远相信自己有光！,False,,409,296,女,0
23,1821274354,反深代词_蝴蝶希,冥冥之中，我要现在遇见你,True,娱乐博主,495,6063,女,34
24,2874535372,球状闪电1992,嘣,False,,221,42,女,31
25,7924624936,深的深的深929725,Wala li longla,False,,47,20,女,0
26,3026008085,还是喝柠檬茶好,土发水成了泥，泥裹着火鸡去烤，难吃。,False,,250,61,女,14
27,5652366864,樱桃馅饼蘸辣椒_龙年发财版,看我干啥，你得看@卡布叻_周深       solo追，别管,True,超话粉丝大咖（周深超话）,474,171,女,9
28,7756206039,小猫钓鱼_ily,唯爱周深,False,,199,74,女,0
29,7316627012,明纨_,,False,,253,1,女,0
30,6064078575,流泪哆啦饼,我在给周深当狗的活动中获得了九百二十九分的好成绩，你也来试试吧！,True,超话粉丝大咖（周深超话）,709,4160,女,16
31,7896840851,卡布小周爱喝粥,生米一枚，喜欢深深第七年，之前也有超话十一级，但是号丢了，这是新号，多多关照！,False,,173,107,女,0
32,7870176651,深嘚我心_,人生没有白走的路，每一步都算数。——@卡布叻_周深,False,,178,65,女,0
33,7299521724,捡了小猫名为_,你唱，我在,False,,134,47,女,0
34,5399267599,嘻嘻复兮兮,镇魂//猫猫统治世界✊🏻,True,超话粉丝大咖（周深超话）,460,163,女,9
35,7259823814,楚客行舟_无墙头版,嗯？你也知道周深的新专辑《反深代词》超好听和周深十周年巡回演唱会官宣了啊,True,超话粉丝大咖（周深超话）,700,928,女,6
36,7856587858,深深今天也要开心噢,,False,,36,1,女,0
37,6476163254,小如爱吃米饭,广西纯米,False,,283,339,女,1
38,7209596594,我想吃锅巴土豆,我是我担的狗谁骂他我咬谁,True,娱乐博主 超话粉丝大咖（周深超话） 微博原创视频博主,510,1870,女,4
39,6389291899,请听我预告-,全天候舔狗/镇魂,False,,279,99,女,4
40,7380069402,你一笑我生花,,False,,163,6,女,0
41,7844391303,饼干同学请听题,担周深🥺🤲唯粉，专注小深forever🥰 二次元浓度不高😁😇happy puppy！好运来！我必有票我必有票我必有票！！！/镇魂,True,超话粉丝大咖（周深超话）,564,127,女,0
42,6142720786,华星凝辉,东走西顾。,False,,90,25,女,9
43,5388749289,桢桢桢二---陪周深淋雨过六一版,世上有温柔的灵魂 像萤火飞舞夜深 哪怕空无一人 山谷有灯 寻着光相认……,True,超话粉丝大咖（周深超话）,468,154,女,26
44,7521008698,照秋_反深代词神专,反深代词神专驾到，糊坛通通闪开👋,True,超话粉丝大咖（周深超话）,342,1.3万,男,0
45,5845609247,朝霞不出门听反深代词,关爱短脸猫猫协会成员【镇魂防搜,True,音乐博主 微博剪辑视频博主,532,2.1万,女,4
46,6072765004,科学探险霍字典,致力于成为一个勇敢的探险家，用科普点亮每一片黑暗。,False,,148,6.9万,男,9
47,7443359632,Pineapplecakes,Don't start fights you can't win,False,,236,266,女,0
48,6382305974,悖逆选择反深代词,你的轮廓已变成我这颗心的模具,False,,686,1451,女,4
49,7332695985,丨星点点-月团团丨,世上有温柔的灵魂 像萤火飞舞夜深,False,,47,1,女,0
50,6096291113,一锅星星汤,浅予深深 长乐未央,True,超话粉丝大咖（周深超话） 微博原创视频博主,236,2959,女,4
51,7644836386,我妈说名字太长会有呆子跟着念哈,冲破世俗偏见的玫瑰，会永远在烈日骄阳下怒放🌹@卡布叻_周深,True,超话粉丝大咖（周深超话） 微博原创视频博主,498,2169,男,0
52,6116871210,皂·小豆泥皮鼓版,都曾呼吸狂奔 相爱支撑 命才成为生/   镇魂,True,娱乐博主 超话粉丝大咖（周深超话） 微博原创视频博主,488,7693,男,9
53,7782983963,nsccjjwxzrkd,,False,,2,1,男,0
54,2098571953,搬砖的五毛毛,不避险恶，为应为事； 不辞尘垢，抱磊落怀。,False,,410,199,女,35
55,6382458137,fishEmperor_,四季冷暖的交替 多鲜活的生命 又枯萎的痕迹,False,,279,11,女,4
56,7509328174,S_文艺的肥肉YEYE,永远期待周深💙,True,超话粉丝大咖（周深超话）,574,5991,女,0
57,2684320315,用月光打个蝴蝶结,玲珑骰子安红豆，入骨相思知不知。,False,,517,58,女,4
58,5896021212,没错是我叫的叻,小小的深深，已经是大大的星星惹!!!!!!🤩,False,,35,20,女,9
59,7562723776,希兮的大宝贝,本人杰麟宝女,False,,606,37,女,0
60,6512848477,Charlie_沐沐,,False,,387,19,女,4
61,7913884016,春暖开花时202304,,False,,56,2,男,0
62,7619497607,努力不停歇备考的JUJU,,False,,36,2,女,0
63,6192408530,你的小可爱已登陆C-929星球,,False,,13,11,女,4
64,6740497479,慢运动的胖胖,,False,,752,140,女,2
65,5534391170,我超有福气der,周深新专辑《反深代词》,True,超话粉丝大咖（周深超话）,226,238,女,26
66,5802661662,啾星的白T叻_有过回复版,这个时代不可以没有周！深！ 🤩🤩。,False,,176,69,女,4
67,7892861939,米奇叻叻,是周深的狗叻～,False,,163,30,女,0
68,7715532623,掐周深辟股,莉姐的涩批小狗｜实行粥森全肯定原则 爱猫大于一切｜二🧱在置顶plq｜镇魂,False,,291,184,女,0
69,3340754904,浅墨hydwyan,小笼包+生米~\(≧▽≦)~+果果，古风歌手本命丽丽！头牌！CV本命格格，杰大，超迷古风音乐，喜欢图大妖大临姐天时才才等一众古风男神女神们～,False,,942,521,女,28
70,7762158874,叻叻猪咬指甲,,False,,142,6,男,0
71,2952449645,ZS-pretty-baby,代码：MGHQ2X,False,,241,86,女,1
72,7838946667,可爱迷人的草履虫一枚,事在人为 和光同尘,True,超话粉丝大咖（周深超话） 微博剪辑视频博主,224,6876,女,0
73,7847147589,Tlunennob,,False,,90,5,女,0
74,7892551897,数学我手拿巴掐,🫠,False,,54,1,女,0
75,5515224663,深深最棒1314,,False,,190,12,女,0
76,1140589921,99here反深代词仙品版,只为那一颗独一无二的星星驻足✨   ️⚠️多担请别来关注我哈🙂,True,超话粉丝大咖（周深超话）,990,1181,女,48
77,7365332853,用户7365332853,,False,,50,1,女,0
78,6435508378,团团圆圆叻爱听反深代词,* 我像在与风相爱 怎样转身你都在💕,False,,415,194,女,2
79,1902771695,圆喵和我揪了个星,无论我在哪里 你都在这里     镇魂,True,微博原创视频博主,943,2741,女,33
80,7859365530,纯文学叻_,周深永远是我最可爱的宝宝！我以渺小爱你🥰！                   详细请看置顶哦,True,微博原创视频博主,565,1409,女,0
81,7392953796,锦予卡住叻,镇魂｜养胃中^0^,False,,404,180,女,0
82,7884425964,咔咔咔啵啵啵啦啦啦,,False,,73,21,男,0
83,7723970885,呱呱铭酱不是蛙,别关注我！！我只是一只打工蛙，蛙蛙爱岗敬业，蛙蛙遵纪守法，蛙蛙什么都不知道……,False,,825,2399,男,0
84,6421753878,咖啡不加糖fighting,,False,,47,23,女,9
85,7766314856,风筝叻,,False,,69,43,女,0
86,2922341303,黑色空白8,,False,,122,31,女,9
87,1035540013,柯柯和我,,False,,351,75,女,4
88,7447194132,周小深熬粥粥,卡布所在音之天籁    风雨同周深情不移           迢迢千盏繁星，盈盈一川银河.,False,,69,28,女,0
89,5017872508,鹅大仙带你停药带你飞,风雨同周 深情不移💙💙💙,False,,229,45,女,14
90,6755807239,蜗牛要精致哟,唯爱啾星星！！！不接受多担！！！,False,,409,44,女,4
91,5863753705,哎嘛瞅啥vhahdbfjxs,,False,,437,14,女,4
92,1633611677,Adelescharlie,再看我就把你吃掉˙Ⱉ˙ฅ,False,,205,2240,女,2
93,7766590296,萝卜不爱吃鱼叻,,False,,155,13,女,0
94,7378685437,我会说什么你好啊,周深唯粉,False,,65,1,女,0
95,7469076897,yiky_Y,啦啦啦啦啦啦啦,False,,27,7,女,0
96,6390228418,瀑布也算布,普通人,False,,198,139,女,4
97,6120542381,听闻雨来,,False,,217,287,女,4
98,6486933966,以光相赴叻,爱我们的人爱的是真正的我们,False,,138,42,女,1
99,6619898371,果酱叻,如你所见，我是一只萨摩耶，是周深的狗,True,微博剪辑视频博主,342,424,女,4
100,5690353971,璐璐子C929,只互ygxy比较好的纯米哦～,True,超话粉丝大咖（周深超话） 微博原创视频博主,497,851,女,0
101,6765583530,土鸡蛋魔法_卡布变反深代词,周深至上，其余免谈,True,超话粉丝大咖（周深超话）,209,369,女,0
102,2250405641,笙歌北望,人均糊坛大师，妙啊,False,,264,436,女,47
103,1827136855,深斗里的长毛粽子,龙虎养老花,False,,841,544,女,39
104,6611222355,刘9个洋芋粑粑给啾星,一切安好！事事顺利！【晦气玩意离周深和我都远远远点！！,False,,138,133,女,4
105,5385968106,神明祈福星-,“真正爱我们的人，爱的是真实的我们”,False,,877,1065,女,0
106,6498083850,鱼可可祝周深新专辑反深代词大卖,永远轻盈，永远滚烫。,False,,249,24,女,0
107,7213630543,姆指雨,,False,,255,9,女,2
108,6499060881,不吃香菜的白粥,你看，你忘记自己也是发光的了！,False,,496,77,女,4
109,7815454367,现在只听周深的歌_耳朵养刁了,,False,,295,18,女,0
110,7648416314,发芽的土豆大王,发疯中...,False,,234,110,女,0
111,7888234054,ElizaGrande,镇魂 -,False,,118,3,男,0
112,7431061804,工作修身养性,现生忙碌中……,True,超话粉丝大咖（周深超话）,793,240,女,0
113,7519808281,星星崽是社恐,,False,,157,10,女,0
114,7895078329,亦心_准备收听周深二专,等风来不如随风去,False,,146,10,女,0
115,7901725195,迷人母耗子,真正爱我们的人，爱的是真实的我们,False,,43,4,女,0
116,7414193317,小狗小狗我爱修狗,爱粥深的修勾,False,,152,12,女,0
117,7497746200,亿衾深月之周深的泡面忠诚爱好者,2024努力，现场见！,True,超话粉丝大咖（周深超话）,497,167,女,0
118,5330861866,我不可爱啊O_o,讨厌你们,False,,288,6,女,0
119,6720798412,三分树树,什么属性都不是，但什么属性都接受，所以都沾点❤️❤️,False,,90,28,女,3
120,7448471906,听说周深你喜欢回复名字有趣的米,,False,,220,134,女,0
121,7815647142,Wild-深LOVE,,False,,113,2,女,0
122,7790017952,风车没有了风还在-周深二专反深,,False,,64,33,男,0
123,6993620141,听见玫瑰的心跳,祝我们都是自由的,False,,345,91,女,4
124,5253678174,还有人不知道周深二专吗,粉周深不当唯粉，你的确没品,False,,149,8,女,4
125,7598422756,虾仁不眨眼叻,君子居其室，出其言，善则千里之外应之。,False,,249,62,女,0
126,6454586592,诗蒽诗蒽,人活着就是为了看周深,False,,309,169,女,4
127,1870436454,9点29zzZ,,False,,285,250,女,14
128,1768646580,一颗sorrel,人间的聚散也不过花开和花落,False,,349,2067,女,43
129,1731619093,大米小米缸里的米,唯zs【镇魂。,True,超话粉丝大咖（周深超话）,369,169,女,30
130,3040099350,929向光而行,生米,False,,328,590,女,5
131,2692953895,无糖不加冰_929,周深是我宝宝    毒唯.猫塑                                               solo追星  不参与任何争吵  反黑除外  一致对外,False,,459,406,女,36
132,7315455396,2019遇见天使,,False,,180,28,女,0
133,7647303707,小短脸守护联盟终身会员,,False,,50,2,女,0
134,7737924525,是个鼓舞_,,False,,3,1,男,0
135,2473225660,盐水花生爱生活,,False,,42,17,女,2
136,7855475004,featherrrr_rr,,False,,50,13,女,0
137,7854089874,朝暮津渡,你有没有见过蓝色的天和玫瑰色的云,False,,77,12,男,0
138,5830926372,烟火撞星辰yy,不管重来多少次，人生都肯定会有遗憾。,False,,85,2,女,4
139,6932946353,把借来的笔还给你吧,而在那高高清凉的山上，所有的冷杉仍然都继续向上生长。,False,,289,22,女,3
140,5308362926,小火青FIRE,周深歌迷,True,超话粉丝大咖（周深超话）,2106,645,女,27
141,6533356276,叨叨9155,,False,,247,13,女,0
142,6404169321,周可可是可爱的可,自由自在，不跪不舔，SOLO追星，少管我！！！！,False,,341,43,女,0
143,5383900755,林林超厉害,未关注人私信关闭，勿扰,True,娱乐博主,432,5692,女,44
144,3709905773,小竹子mi,有点逗逼，偶尔犯二的妹纸一枚,False,,331,15,女,4
145,6271590096,我嘤嘤嘤啊啊啊,,False,,364,5,女,8
146,7835987383,yuu鱿鱼_,“做你自己这件事，没有人比你做得更好”                                                   一一周深,False,,55,21,女,0
147,5041828293,Mitta米塔_烤柿顺利版,「你是我最初的信仰，要幸福啊。」 ｜ 镇魂,False,,519,282,女,0
148,7351014185,福气满满耶耶耶,天天想好事，好事自然来,False,,131,3,女,0
149,1098648071,弥月CC,,False,,290,89,女,9
150,5691092475,阿发的狗,“我们生命的轴心就是爱与死。”,True,超话粉丝大咖（周深超话）,604,144,女,20
151,1058670603,小王子的狐狸C929,wala li longla,False,,173,61,女,20
152,3227313497,玫瑰禁曲,镇魂｜我逢人就说你是我的玫瑰.,True,娱乐博主 超话粉丝大咖（周深超话）,449,2034,女,32
153,7607764268,喜欢Rubia,劲焱老板未公开女友,False,,85,45,女,0
154,7479344912,yeah可乐星星,周深的狗 【整梦泥一体机嘻嘻,False,,936,31,女,0
155,6209677395,据说下个礼拜有星期八,昵称太难想了！,False,,222,6,女,1
156,6274411890,pressyourluck,a person who wants to change the world,False,,81,2,男,4
157,7902861016,吃深条不沾番茄酱,,False,,17,1,男,0
158,7541367846,都随意呗,谨言慎行,False,,88,21,女,0
159,7502026554,卡密叻,一个平平无奇只喜欢周深的小狗,False,,231,13,女,0
160,6352191516,槑什么想说的_请听反深代词,我们都是星辰,False,,262,24,女,3
161,7468893660,木啊木啊木叶下,认识生物多样性,False,,189,4,女,0
162,6995604473,豆腐脑还得是辣的,猫好人坏,False,,223,25,女,3
163,7366430445,奇闻攸然_三巡有票版,管好你自己‖镇魂,True,娱乐博主 超话粉丝大咖（周深超话） 微博原创视频博主,810,2283,女,0
164,7821117157,以渺小爱你_929,世界上最好的猫猫,True,超话粉丝钻咖（周深超话）,115,75,女,0
165,6582758720,不知道要叫什么65204,,False,,2,1,男,0
166,7899218540,好好H-A-O,,False,,205,25,女,0
167,7459254767,小念吃饱叻_,我以渺小爱你 同行的旅程,True,微博原创视频博主,270,228,女,0
168,3189533760,我爱吃旺旺黑米雪饼,爱国爱党爱周深,False,,202,9,女,0
169,1873043914,星星是小太阳啊,喜欢深深的一粒米~,False,,272,41,女,4
170,7851007481,周栀浅,在2023年初在音乐课时听到周深的《亲爱的旅人啊》   在2023.5.16正式入坑,False,,121,24,女,0
171,7594118155,鸽王鹅嗯,929💞💞💞,True,超话粉丝大咖（周深超话）,510,359,女,0
172,6771333280,我在大眼看人性,,False,,234,7,女,1
173,3518992567,给我来份冰麒麟,我追着春天追着你,False,,232,196,女,9
174,7916295461,披荆斩棘_2024,,False,,69,25,女,0
175,7312827963,一口凉皮一口瓜,,False,,461,15,女,0
176,7811684413,lunaticlife,,False,,169,11,女,0
177,7088958931,Nagesa不爱喝养乐多,点进来的都默认华尘肺🫁亖了,True,超话粉丝大咖（周深超话）,194,103,女,4
178,3800960054,麦家小金鱼,C929的一朵玫瑰花！！！！一个会偶尔嗷呜的米～,True,超话粉丝大咖（周深超话）,170,147,女,4
179,7808632778,53570分之1的星晴,,False,,108,17,女,0
180,7486527642,Again_zs,,False,,30,3,女,0
181,6708842372,小橘猫唱片机在播反深代词,精神上都那么喜欢周深了，如果不想睡他的话，简直就是对他肉体的不尊重！｜镇魂,True,超话粉丝大咖（周深超话）,612,685,女,4
182,7881972190,如果我emo了可不可以占深深便宜,,False,,3,4,女,0
183,7241418998,这周要吃蚊子刺深l,闽米一枚呀 祈周深来福建开演唱会,False,,196,9,女,4
184,7726348309,做只浪漫的鱼,亲爱的朋友啊，我要拉着你奔跑,False,,912,1938,女,0
185,6882767188,哲欣爱吃江米条,如果没回评论就是被新浪吞评论看不到，有事请私信！,False,,250,126,女,4
186,7767396714,不卡叻哦,你还不知道我被周深宝贝回复了吗？！,False,,186,38,女,0
187,6607010080,荷荷讪讪,收听反深代词中…,False,,699,48,女,4
188,1934213760,格桑梅朵HN,陈丽君和她的粉丝，一个背刺搭档一个对搭档各种污言秽语。一个卖腐卖姬，一个造谣成性，希望假男人正主和真女生粉丝锁死。,False,,448,494,女,25
189,7815083349,璨璨橙子汤,祝你永远自由快乐歌唱！,False,,647,134,男,0
190,7332146989,可可又被风吹走了,无事发“深”,False,,121,115,女,0
191,7772612411,周星星呀929_,,False,,205,10,女,0
192,7788055944,Easy一点都不easy呢,桔梗to,False,,368,258,女,0
193,7897044936,爱深宝二号,光，就是你，感谢你照亮我,False,,30,14,男,0
194,6490321933,aMinecraft66,,False,,486,5,男,0
195,7312541582,TX-Starsinsky,爱得真心我俩应该吻死,True,娱乐博主 超话粉丝大咖（周深超话）,356,1.5万,女,0
196,7791878970,玫瑰上的钻石,星星罐子～收集一点一滴小美满,False,,154,79,女,0
197,7852337305,不远了___,我是妈粉➕嬷嬷的奇怪混合体，快跑！ 婉拒多担，因为我粥深全肯定其他全否定 欢迎找我玩，别被我吓到就行 (*^▽^*),False,,247,112,女,0
198,5466396278,深红Two豆_刺黎,睡个好觉，花开忘忧。,False,,138,399,女,33
199,7867127590,用我的兔耳朵仔细听反深代词,为了周深办的微博，日以继夜收验证码收了一个礼拜才成功😚,False,,189,70,女,0
200,7032083413,幼稚园ETC叻,内心始终笃信爱与温柔,False,,180,72,女,7
201,6118350737,江户川柯西西西西,我的痛苦终有一日会随瞬息而逝的人生一同消散，唯有作品长留于世,False,,149,63,女,4
202,7817915290,把数学试卷撕了喂体育老师,,False,,60,5,女,0
203,7791027260,恰星星的米,没有墙头！！！,False,,60,5,女,0
204,7267061444,小星福_神专反深代词信徒版,深爱世人，我唯爱深,True,超话粉丝大咖（周深超话）,422,2213,女,4
205,7743230361,猫猫在看星星叻_,周深舔狗，毒唯，lsp,False,,127,27,女,0
206,7331758964,啾星碗里的鱼腥草,唯爱深深,False,,248,37,女,0
207,7807324028,深深的彩云,卡布所在， 音之天籁。 风雨同周， 深情不移。,False,,63,21,女,0
208,7918581984,lim_尊嘟尊嘟尊嘟想要粥星的亲签,,False,,22,3,女,0
209,6348727670,易粒米mm,爱深深的一颗什么都不会的废米，上辈子做了啥好事这辈子能遇周深,False,,125,49,女,4
210,7541024329,Rebecca-717,这是个小🐭,False,,71,19,女,0
211,7896791255,我就是没有墙头,,False,,31,13,女,0
212,7782993482,如何引起周深的注意,₊⁺♡̶₊⁺世界第二 周小猫第一!!!🍥、,False,,554,8,女,0
213,6199182274,卡布叻-听周深二专,陪伴是最长情的告白！,False,,493,258,女,9
214,7843270022,果某一哭二闹三上吊_重启版,有你，我在！！！！！一直在在在                                      我没墙头！！！,False,,118,8,女,0
215,7275872837,时烟笙_去武汉场版,什么都会一点，但什么都不精，在努力学习产出中……主业写手，喜欢写些乱七八糟的东西 lofter：时烟笙⭐️   sj粉/颜狗,False,,519,413,女,1
216,6331242851,确认了眼神儿,默默流泪，远比嚎啕大哭 更加扎心。微微一笑，远比哈哈大笑 更加打动人心。,False,,341,326,男,20
217,2009336993,416号小阿橘叻,【喜欢善良美好的人】【林俊杰是初中到现在的爱】【阿越君是我心目中最棒的藏剑】【喜欢演员胡歌和朱一龙】【周深是小宝贝】【脾气暴躁会骂人】,False,,184,67,女,37
218,5719435002,浮云白日ip_,无敌的小懒虫,False,,128,116,女,9
219,7773241116,吃一口啾星,,False,,91,8,男,0
220,7931469212,nfysen,,False,,9,1,男,0
221,7811040104,沐阳嘞哈嘿,大号登不上了，就这样吧,False,,37,24,男,0
222,1972383294,紫薯芋泥啾星星,周深红得发紫，刺激到你啦？好耶！,True,超话粉丝大咖（周深超话）,321,1722,女,22
223,7853361597,周深小猫看看我,嗯？咦？遇见可爱的深深就亲上两口呀,False,,53,16,女,0
224,6609076423,甲鱼是周深的铁杆米,我！有！周！深！回！复！啦！,True,超话粉丝大咖（周深超话）,595,680,女,4
225,5115984414,灵妖灵妖喵,好嘛 要记一辈子卡布叻,False,,971,70,女,9
226,6198001879,漫步人生花路之花果山版,等疫情结束，我要带上一朵玫瑰花，去听周深的演唱会！,False,,206,13,女,9
227,5149444179,BBHbaekk,,False,,205,40,女,15
228,7707173731,-Akivili-,老来旧情成碑｜镇魂,True,微博剪辑视频博主,322,1267,男,0
229,7803878780,炸蘑菇的鸽子,深夜游神  爱吃🐱,False,,155,1,女,0
230,5991869621,非著名吃瓜群众kkk,,False,,62,1,女,4
231,7623204284,鲸落_鲸归,solo追星⭐,False,,83,23,女,0
232,6541799225,夢中水燈,许愿下一个现场,False,,167,64,女,14
233,7429914214,_摩尔摩尔_有票版,一个有8.11南京场票的幸运的小女孩,False,,43,6,女,0
234,7901837383,弹簧狗的脑袋,深深宝贝一切顺利,False,,123,36,女,0
235,7811527192,晋得2024,,False,,151,129,男,0
236,6605900872,瓜尼科夫小门,爱猫人士,False,,339,41,女,9
237,7907658731,929小区居民,,False,,19,2,女,0
238,7878899808,吞只麻薯,,False,,16,25,女,0
239,6208712493,狐狸吃桃子要蘸辣椒粉,小🐭，说点真话，看点有趣的人和事,False,,71,2,女,1
240,3211863013,诺诺的酸梅果,,False,,288,56,女,0
241,7643999207,尹炆东,来视奸了？进我主页的一律默认zs内娱永一男歌手哦,False,,314,14,女,0
242,6090965933,偶素一朵小发,去见你的路上，花都是为我们开的。,False,,232,18,女,5
243,7628720138,来世要做卡皮巴拉,高兴啊,False,,297,21,女,0
244,6019864193,林深霁晓,,True,超话粉丝大咖（周深超话）,229,494,男,9
245,5675604063,徽轸小灯笼,情深不寿！,True,超话粉丝大咖（周深超话）,378,72,女,9
246,6478146149,AlieZ眠眠,要炙热啊要不忘啊要勇往啊,True,超话粉丝大咖（周深超话）,740,1948,女,4
247,6193268006,努力棠jy,别忘了，你也有梦～,False,,1087,287,女,4
248,6976020588,929Hz的星星船,都曾呼吸狂奔 相爱支撑,False,,430,831,女,9
249,7544840665,Niur_woez29,没被回复过的倒霉米🤔,True,超话粉丝大咖（周深超话） 微博原创视频博主,391,326,女,0
250,7034559977,扑倒星星啾星,花开忘忧，愿你无忧。,True,超话粉丝大咖（周深超话）,135,77,女,4
251,6532630957,揪心的米,,False,,183,9,女,4
252,5511915679,深仔的哪吒兄弟,,True,超话粉丝大咖（周深超话）,416,141,女,4
253,6349344120,超白一只猫,,False,,2546,356,女,9
254,5985340029,璞玉mi__周深二专和演唱会要来喽,原ID:璞玉mi_     //小散毒唯护犊子已成年，猫猫至上，好相处但有点莽撞。个人佛系但对伤害猫的记仇，比较包容可能不喜欢一些属性但尊重，禁米缸雷,False,,1399,206,女,2
255,2124018853,向阳的大苹果,,False,,866,75,女,9
256,2042701074,双鱼深星,,False,,236,48,女,18
257,3598634723,星星不失眠_神专反深代词,I'll be your lighthouse，I'l make it okay💐,True,娱乐博主 超话粉丝大咖（周深超话）,1098,1.5万,女,9
258,7808874501,老师我是深宝女,(8.10要和周深一起过七夕版)！！！！粥森 宝贝越来越好！！！！！,False,,265,63,女,0
259,6647011005,_给糖_就不闹,周深的毒唯、死忠粉，一切cp请绕道，雷闰土、我们有一个孩子、mxh、大馒头（,True,超话粉丝大咖（周深超话）,160,46,女,4
260,7926152341,修狗土豆丸_小星限定,✨ZHOU SHEN｜💙“I'M GIVING MY ALL”,False,,406,210,女,0
261,6807414245,白饭拌醋,关注周深专辑《反深代词》！！！！！！ 纯生米（戴帽子的星星猫/白饭拌醋）  🈲cp🈲泥塑（极端单推！！！除了周深只喜欢纸片人！狼妈互切！）,True,超话粉丝大咖（周深超话）,445,133,女,0
262,7567010926,钰安啊_耶,还在读书，学生米，耶✌ （高二版）,True,超话粉丝大咖（周深超话）,405,95,女,0
263,5665157062,澹博雅,一如既往不分场合地支持周深，20年玫瑰之约，等我！,False,,551,233,女,4
264,3298449715,你看见杦桎的羊屁屁了吗,,False,,486,83,女,9
265,7597683400,小鱼心事化雨,,False,,102,9,女,0
266,7745251937,i_loveryuuu,申留真全肯定,False,,534,100,女,0
267,6936069202,养猫咪的话就会被猫爪挠的呀,怎么你了。,False,,529,16,女,2
268,7627599647,白夜晚归处,愿今年大家平安健康,True,超话粉丝大咖（周深超话）,223,561,女,0
269,6920195287,竹竹竹竹叶青青,发疯不常上,False,,109,14,女,4
270,6463350071,再再再说吧biubiu,ꪔ̤̫ຶ/遗风固唐远，积德本周深👣꡴⋆̩💨 𓂃ᐝ,True,超话粉丝大咖（周深超话） 微博原创视频博主,275,92,女,1
271,5856251328,小小深哒哒,我以渺小爱你同行的旅程➕⭐,False,,253,85,女,9
272,7505577253,Limit啾星,努力见周深!!!!!!!!!,True,超话粉丝大咖（周深超话）,755,897,女,0
273,6182318493,立个flag去看深深演唱会,风雨同周🌹 深情不移,False,,72,14,女,4
274,1913140130,xinxinme,脑残追星号,False,,414,316,女,14
275,7492252095,修猫咪嫑吃毛米,😼,False,,215,22,女,0
276,7391100675,柠檬不太萌丫,本命周深，墙头周浅，深浅szd,False,,103,538,女,0
277,7523435051,活该你还在看论文,要做有牙齿的温柔哦,True,超话粉丝大咖（周深超话）,732,644,女,0
278,6554926869,十六叻,什么时候能一夜暴富💵,False,,101,27,女,4
